phases,av. probability,norm. score
C Cr Rb,0.5084715176666665,0.0978249788972717
Au C Rb,0.5140818727999998,0.1108530189021903
C Cr K,0.516555197033333,0.1129449980987506
C Cr Mg,0.5702493688000002,0.1137100066478495
C Mg Pt,0.5503315074166668,0.1269532828422901
As C Rb,0.5541398197333328,0.1339141308948451
As Mg Rb,0.5131113124533332,0.1350024936763517
Cr N Pt,0.5000961151733337,0.1410036801520515
C Mn Rb,0.5263333274333335,0.1410057735128994
Au C K,0.5262007537333333,0.1423384723031955
Mg Na Rb,0.513890496443333,0.1430227480360363
Au C Mg,0.5659298784666663,0.1430604200978905
C Cl Rb,0.5485633429166668,0.1467107332167753
Cl Mg Rb,0.5218785293766666,0.1477903321642134
Ag C Mg,0.5483526583499997,0.1480879202909951
C Mg Rb,0.6310115686999999,0.1492033445826265
K Mg Rb,0.5266726797033334,0.1494563021057855
Au Cr N,0.5243968233333334,0.1564853911379352
N Pt Rb,0.5895925640333339,0.1584136195080996
Cr N Rb,0.5927820257333337,0.1623582042384084
Au N Pt,0.5168311524333328,0.1628015107894306
As Mg Na,0.5030404335766668,0.1653917560763612
As C Na,0.5293973880000002,0.1681428092221829
As C Cl,0.5157843549933335,0.1689916951168311
As Cl Mg,0.5105724319366667,0.1699393476236071
As C K,0.5614728071333334,0.1705981440187989
As C Mg,0.6091953209666663,0.1712943949064557
As K Mg,0.525770094996667,0.1714569832373201
Cr N Na,0.6019743628666663,0.1724235994148777
As N Pt,0.5551860081800002,0.1729681901927736
Cl Cr N,0.6267328990999996,0.173096528727372
Au N Rb,0.610217538933334,0.1731732374159969
Ag Au N,0.5099271378933334,0.1746266709524587
Cr K N,0.6136004851999998,0.1748314958526018
Cr Mg N,0.6747594127666665,0.1754102311734537
Ag N Rb,0.5813177404666671,0.1778373075190751
Mn N Pt,0.5424591873666668,0.1792861497940656
C Mn Na,0.5039087299466665,0.1833563518825434
As Cr N,0.5625870377466663,0.183672898817255
N Na Pt,0.5991576303,0.1837373533117654
Cl N Pt,0.6217861389666666,0.1844572045302564
C K Mn,0.5411001473666666,0.1857065264378159
K N Pt,0.6070886775666668,0.1860726584233149
C Mg Mn,0.5825602601000001,0.1862961162326804
Mg N Pt,0.6650813901000006,0.1866381500190215
K Mg Mn,0.5138189408766668,0.1866426786528907
As Au N,0.5808671733333332,0.1872046520743376
Ag As N,0.5461482244800001,0.1916937933484356
Co N Rb,0.5678597544799999,0.1921411234393025
As N Rb,0.6378897293666672,0.1925950392733261
Au Mn N,0.5649337082366666,0.1932678488914258
Cr F N,0.5027334498866667,0.1957639413598483
Au N Na,0.6167152851333334,0.1975631800509978
Ag Mn N,0.5318002178666666,0.1977124369767899
C Co Mg,0.5467687354333332,0.198044923085736
Cr Mn N,0.5490693567666665,0.1982373897979028
Au Cl N,0.6419451609666667,0.1982825842660433
Cl Mg Na,0.5168782644099998,0.1982958675634845
Mn N Rb,0.628371941633333,0.1986055162483032
Au K N,0.6292169448333336,0.1998180118422947
Au Mg N,0.6780084201666672,0.2003814805388873
C Cl Na,0.5326620190833332,0.2008367613445309
Ag N Na,0.5869983649000006,0.20195498563842
Ag Cl N,0.6150750545999999,0.2026535058648814
N Na Rb,0.6630592718333341,0.2028457653347195
K Mg Na,0.5289056063433331,0.2031654007636657
Cl N Rb,0.6857711230333332,0.2035257185084715
C Cl Mg,0.6100975555133334,0.2037715149990847
Ag K N,0.6018339987666668,0.2041796730043038
Ag Mg N,0.6618011337333332,0.204724004678004
K N Rb,0.6655557491333329,0.2050685669133648
Mg N Rb,0.7128512906333334,0.2056343041873479
C Cl K,0.5621094146000001,0.2064379828100715
Cl K Mg,0.5380317245933333,0.207291594680785
C K Mg,0.6421419031999996,0.2085030583236164
As Co N,0.53233648302,0.2119188376784436
C Mg Na,0.61871062655,0.2136941538340403
As Mn N,0.5983208337,0.218100989761542
Au F N,0.5155563710566664,0.2195952895057251
As N Na,0.6417591397666667,0.2221338820685479
As Cl N,0.6644090427666662,0.2228310244128782
As K N,0.6523967435999999,0.2242661050108146
F N Rb,0.5845909028266666,0.2245779120878097
As Mg N,0.7007873656666666,0.2248224814973334
C F Mg,0.5504895146600005,0.2350176115807704
Mn N Na,0.6323030165,0.235453217896416
Cl Mn N,0.6546139336333335,0.2361059653123867
K Mn N,0.6452601799,0.2375155301799637
Mg Mn N,0.6912633905999999,0.23800639722466
Co Mn N,0.5139525266700005,0.2421291721176269
N Ni Rb,0.5516448835866661,0.2423169341826909
As F N,0.5545478551766659,0.2429615248128343
Co N Na,0.5713546302,0.2459457634780466
Cl Co N,0.5945510379433333,0.2466182448146144
Co K N,0.5845353806166672,0.2479636711073946
Co Mg N,0.6601683403000004,0.2484417485501071
Cl N Na,0.6906533434333334,0.2509697596559254
Cl Mg N,0.7270383185000004,0.2535193093617208
K N Na,0.6773462293333334,0.255290280880686
F Mn N,0.5372262931400005,0.2556973046245737
Cl K N,0.6954417256000004,0.2559493968824425
K Mg N,0.7233381380666666,0.2577794594503512
As N Ni,0.5045462669666667,0.2599636183217289
Mg N Na,0.7184735951999999,0.2624417110034991
F N Na,0.5896509249199996,0.2663743763363064
Cl F N,0.6041586132000004,0.2705625091480303
F K N,0.6020806695166668,0.2747117117554702
C Cr N,0.6474296293666661,0.2799368812491047
F Mg N,0.6677377976999999,0.2816040239727939
C N Pt,0.6406126105666662,0.2888060593888651
Au C N,0.6610142072666665,0.2997951739252689
Ag C N,0.6320389903333333,0.3032875975160366
C N Rb,0.7036449351333333,0.3039800149267443
As C N,0.6826513014666665,0.3196252147059228
C Mn N,0.6690526417999998,0.3305682306350606
C Co N,0.6300842232666669,0.3392031596519694
N Na Ni,0.5497921641133332,0.3431371479313442
C Cl N,0.7048303373666664,0.3434420580049326
Cl N Ni,0.5776077317866665,0.3437666198391405
K N Ni,0.5650276044333333,0.344802994621202
Mg N Ni,0.6242598942866672,0.3452026099997573
C K N,0.7146260648,0.3469636725074527
C Mg N,0.7213931432,0.3529814960997517
C F N,0.6249184514333337,0.390253482741532
C N Ni,0.6065352240966672,0.4222336047132597
